Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,82,8,T:System.Uri,,,,,var endpoint = Endpoint(context);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\StripePaymentProcessorGateway.cs,143,8,T:System.Text.Json.JsonDocument,,,,,"using var document = JsonDocument.Parse(string.IsNullOrWhiteSpace(json) ? ""{}"" : json);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\StripePaymentProcessorGateway.cs,143,8,T:System.Text.Json.JsonDocument,,,,,"using var document = JsonDocument.Parse(string.IsNullOrWhiteSpace(json) ? ""{}"" : json);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\StripePaymentProcessorGateway.cs,141,8,T:System.Net.Http.HttpContent,,,,,var json = await response.Content.ReadAsStringAsync(cancellationToken);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\StripePaymentProcessorGateway.cs,124,8,T:System.Text.Json.JsonDocument,,,,,"using var document = JsonDocument.Parse(string.IsNullOrWhiteSpace(json) ? ""{}"" : json);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\StripePaymentProcessorGateway.cs,124,8,T:System.Text.Json.JsonDocument,,,,,"using var document = JsonDocument.Parse(string.IsNullOrWhiteSpace(json) ? ""{}"" : json);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\StripePaymentProcessorGateway.cs,123,8,T:System.Net.Http.HttpContent,,,,,var json = await response.Content.ReadAsStringAsync(cancellationToken);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\StripePaymentProcessorGateway.cs,115,8,T:System.Uri,,,,,"var http = new HttpClient { BaseAddress = new Uri(""https://api.stripe.com/v1/"") };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\StripePaymentProcessorGateway.cs,115,8,M:System.Uri.#ctor(System.String),,,,,"var http = new HttpClient { BaseAddress = new Uri(""https://api.stripe.com/v1/"") };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\StripePaymentProcessorGateway.cs,115,8,T:System.Uri,,,,,"var http = new HttpClient { BaseAddress = new Uri(""https://api.stripe.com/v1/"") };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\StripePaymentProcessorGateway.cs,86,8,T:System.Uri,,,,,"var result = await PostStripeAsync(http, $""payment_intents/{Uri.EscapeDataString(providerOperationId!)}/cancel"", new Dictionary<string, string>(), cancellationToken);"
